,Season,TeamID,Rank_WLK,Rank_DOL,Rank_COL,Rank_SAG,Rank_MOR,Rank_POM,Seed,TeamName,Wins,Losses,Win%,T_Wins
2022,2008,1457,106,103,119,107,121,109,13,Winthrop,20,11,64.5161,0.0
2028,2008,1129,93,88,77,106,114,131,14,Boise St,24,8,75.0,0.0
2034,2008,1110,126,139,128,155,164,159,15,American Univ,21,11,65.625,0.0
2040,2008,1164,254,288,249,288,287,309,16,Coppin St,14,20,41.1765,0.0
2046,2008,1291,170,184,174,178,161,169,16,Mt St Mary's,18,14,56.25,1.0
2052,2008,1242,3,3,5,2,1,1,1,Kansas,30,3,90.9091,6.0
2058,2008,1207,8,9,8,8,5,8,2,Georgetown,27,5,84.375,1.0
2064,2008,1458,7,6,7,6,8,4,3,Wisconsin,29,4,87.8788,2.0
2070,2008,1435,31,23,15,34,32,48,4,Vanderbilt,26,7,78.7879,0.0
2076,2008,1155,16,19,19,17,11,13,5,Clemson,23,9,71.875,0.0
2082,2008,1425,25,26,28,22,20,20,6,USC,21,11,65.625,0.0
2088,2008,1211,26,28,31,25,31,28,7,Gonzaga,25,7,78.125,0.0
2094,2008,1424,43,36,25,45,61,53,8,UNLV,25,7,78.125,1.0
2100,2008,1245,27,31,24,41,60,66,9,Kent,28,6,82.3529,0.0
2106,2008,1172,19,32,37,26,27,33,10,Davidson,25,6,80.6452,3.0
2112,2008,1243,49,38,49,32,23,15,11,Kansas St,19,11,63.3333,1.0
2118,2008,1437,53,45,47,53,35,51,12,Villanova,20,12,62.5,2.0
2124,2008,1373,83,99,84,97,99,113,13,Siena,22,10,68.75,1.0
2130,2008,1168,73,86,81,83,93,110,14,CS Fullerton,23,8,74.1935,0.0
2136,2008,1420,107,102,109,124,158,145,15,UMBC,23,8,74.1935,0.0
2142,2008,1340,111,110,108,118,115,126,16,Portland St,21,9,70.0,0.0
2148,2008,1272,4,2,2,4,3,3,1,Memphis,33,1,97.0588,5.0
2154,2008,1400,9,8,9,9,7,7,2,Texas,27,6,81.8182,3.0
2160,2008,1390,14,10,14,10,12,10,3,Stanford,26,7,78.7879,2.0
2166,2008,1338,17,16,17,16,13,26,4,Pittsburgh,26,9,74.2857,1.0
2172,2008,1277,23,14,18,18,17,17,5,Michigan St,25,8,75.7576,2.0
2178,2008,1266,18,22,23,14,14,12,6,Marquette,23,9,71.875,1.0
2184,2008,1274,39,34,35,36,47,47,7,Miami FL,21,10,67.7419,1.0
2190,2008,1280,29,43,38,40,26,34,8,Mississippi St,22,10,68.75,1.0
2196,2008,1332,48,39,59,35,30,37,9,Oregon,18,13,58.0645,0.0
2202,2008,1388,30,33,36,31,62,46,10,St Mary's CA,24,6,80.0,0.0
2208,2008,1246,67,66,57,60,40,61,11,Kentucky,18,12,60.0,0.0
2214,2008,1396,44,64,51,64,66,65,12,Temple,21,12,63.6364,0.0
2220,2008,1331,56,60,65,72,89,79,13,Oral Roberts,23,8,74.1935,0.0
2226,2008,1165,76,80,75,105,131,132,14,Cornell,21,5,80.7692,0.0
2232,2008,1122,128,135,124,152,135,170,15,Austin Peay,24,10,70.5882,0.0
2238,2008,1426,163,161,151,168,199,186,16,UT Arlington,17,11,60.7143,0.0
2244,2008,1417,2,4,3,3,4,2,1,UCLA,30,3,90.9091,4.0
2250,2008,1181,5,7,6,5,6,6,2,Duke,27,5,84.375,1.0
2256,2008,1462,11,15,12,11,22,18,3,Xavier,27,6,81.8182,3.0
2262,2008,1163,20,20,20,20,16,21,4,Connecticut,24,8,75.0,0.0
2268,2008,1179,10,11,11,15,34,24,5,Drake,26,4,86.6667,0.0
2274,2008,1345,32,24,27,29,25,25,6,Purdue,24,8,75.0,1.0
2280,2008,1452,21,27,26,19,18,23,7,West Virginia,23,10,69.697,2.0
2286,2008,1140,28,29,30,30,42,44,8,BYU,27,7,79.4118,0.0
2292,2008,1401,34,25,29,27,19,16,9,Texas A&M,23,10,69.697,1.0
2298,2008,1112,35,35,48,28,24,22,10,Arizona,18,14,56.25,0.0
2304,2008,1124,41,37,42,38,43,39,11,Baylor,20,10,66.6667,0.0
2310,2008,1443,38,46,41,46,65,64,12,WKU,25,6,80.6452,2.0
2316,2008,1360,120,105,104,112,100,117,13,San Diego,20,13,60.6061,1.0
2322,2008,1208,112,85,100,91,57,81,14,Georgia,16,16,50.0,0.0
2328,2008,1125,92,115,90,134,160,160,15,Belmont,24,8,75.0,0.0
2334,2008,1290,277,291,240,304,301,318,16,MS Valley St,15,15,50.0,0.0
2340,2009,1338,3,2,1,2,4,6,1,Pittsburgh,27,4,87.0968,3.0
2346,2009,1181,5,5,3,4,6,7,2,Duke,28,6,82.3529,2.0
2352,2009,1437,13,10,9,16,13,19,3,Villanova,26,7,78.7879,4.0
2358,2009,1462,19,22,19,24,26,24,4,Xavier,25,7,78.125,2.0
2364,2009,1199,22,17,15,27,23,35,5,Florida St,25,9,73.5294,0.0
2370,2009,1417,17,18,18,17,10,9,6,UCLA,25,8,75.7576,1.0
2376,2009,1400,30,33,38,29,30,28,7,Texas,22,11,66.6667,1.0
2382,2009,1329,27,31,32,30,28,33,8,Oklahoma St,22,11,66.6667,1.0
2388,2009,1397,32,39,39,36,21,32,9,Tennessee,21,12,63.6364,0.0
2394,2009,1278,37,34,31,32,55,45,10,Minnesota,21,10,67.7419,0.0
2400,2009,1433,54,81,69,76,64,55,11,VCU,24,9,72.7273,0.0
2406,2009,1458,35,48,43,31,25,30,12,Wisconsin,19,12,61.2903,1.0
2412,2009,1340,128,105,113,102,165,117,13,Portland St,22,9,70.9677,0.0
2418,2009,1110,94,89,90,112,107,109,14,American Univ,24,7,77.4194,0.0
2424,2009,1127,115,115,101,158,168,162,15,Binghamton,22,8,73.3333,0.0
2430,2009,1190,101,132,128,133,134,113,16,ETSU,22,10,68.75,0.0
2436,2009,1314,1,1,2,1,2,2,1,North Carolina,27,4,87.0968,6.0
2442,2009,1328,8,8,8,9,20,17,2,Oklahoma,27,5,84.375,3.0
2448,2009,1393,14,9,12,13,7,15,3,Syracuse,25,9,73.5294,2.0
2454,2009,1211,10,13,20,8,9,5,4,Gonzaga,25,5,83.3333,2.0
2460,2009,1228,21,20,17,21,27,23,5,Illinois,24,9,72.7273,0.0
2466,2009,1113,23,14,24,20,14,12,6,Arizona St,24,9,72.7273,1.0
2472,2009,1155,20,24,23,19,22,22,7,Clemson,23,8,74.1935,0.0
2478,2009,1261,36,23,30,40,37,46,8,LSU,26,7,78.7879,1.0
2484,2009,1139,26,30,21,33,57,43,9,Butler,25,5,83.3333,0.0
2490,2009,1276,46,41,45,35,47,49,10,Michigan,19,13,59.375,1.0
2496,2009,1396,33,56,50,52,50,47,11,Temple,22,11,66.6667,0.0
2502,2009,1443,78,82,67,87,93,99,12,WKU,23,8,74.1935,1.0
2508,2009,1103,92,107,110,101,92,91,13,Akron,22,12,64.7059,0.0
2514,2009,1372,82,87,94,95,138,93,14,SF Austin,20,7,74.0741,0.0
2520,2009,1288,119,162,136,144,182,139,15,Morgan St,22,11,66.6667,0.0
2526,2009,1347,107,147,137,164,162,170,16,Radford,18,11,62.069,0.0
2532,2009,1257,6,6,5,5,1,4,1,Louisville,28,5,84.8485,3.0
2538,2009,1277,7,7,7,7,18,13,2,Michigan St,26,6,81.25,5.0
2544,2009,1242,12,15,11,15,11,11,3,Kansas,25,7,78.125,2.0
2550,2009,1448,9,11,13,12,19,21,4,Wake Forest,24,6,80.0,0.0
2556,2009,1428,29,32,22,26,43,25,5,Utah,24,8,75.0,0.0
2562,2009,1452,15,19,26,14,8,8,6,West Virginia,23,11,67.6471,0.0
2568,2009,1130,52,43,44,47,48,59,7,Boston College,22,11,66.6667,0.0
2574,2009,1326,28,26,25,25,35,36,8,Ohio St,22,10,68.75,0.0
2580,2009,1373,34,45,33,58,62,65,9,Siena,26,7,78.7879,1.0
2586,2009,1425,38,35,40,34,24,27,10,USC,21,12,63.6364,1.0
2592,2009,1173,53,40,34,64,86,83,11,Dayton,26,7,78.7879,1.0
2598,2009,1112,50,42,53,43,38,39,12,Arizona,19,13,59.375,2.0
2604,2009,1156,55,61,66,67,77,68,13,Cleveland St,22,10,68.75,1.0
2610,2009,1295,66,64,86,79,87,71,14,N Dakota St,24,6,80.0,0.0
2616,2009,1352,123,130,118,137,129,122,15,Robert Morris,24,10,70.5882,0.0
2622,2009,1106,175,196,168,210,232,195,16,Alabama St,20,9,68.9655,0.0
2628,2009,1287,164,177,186,187,170,167,16,Morehead St,17,15,53.125,1.0
2634,2009,1163,2,3,4,3,5,3,1,Connecticut,27,4,87.0968,4.0
2640,2009,1272,4,4,6,6,3,1,2,Memphis,31,3,91.1765,2.0
2646,2009,1281,11,12,10,10,12,10,3,Missouri,28,6,82.3529,3.0
2652,2009,1449,18,16,14,18,16,16,4,Washington,25,8,75.7576,1.0
2658,2009,1345,16,25,16,11,17,14,5,Purdue,25,9,73.5294,2.0
2664,2009,1266,24,21,27,22,15,20,6,Marquette,24,9,72.7273,1.0
2670,2009,1143,31,29,36,28,45,29,7,California,22,10,68.75,0.0
2676,2009,1140,25,27,29,23,33,18,8,BYU,24,7,77.4194,0.0
2682,2009,1401,42,36,35,46,42,52,9,Texas A&M,23,9,71.875,1.0
2688,2009,1268,43,44,46,44,40,54,10,Maryland,20,13,60.6061,1.0
2694,2009,1429,40,28,28,41,90,56,11,Utah St,29,4,87.8788,0.0
2700,2009,1320,70,75,56,82,79,82,12,Northern Iowa,23,10,69.697,0.0
2706,2009,1280,61,77,57,70,29,60,13,Mississippi St,22,12,64.7059,0.0
2712,2009,1165,117,124,124,118,98,100,14,Cornell,20,9,68.9655,0.0
2718,2009,1169,145,150,151,122,127,104,15,CS Northridge,16,13,55.1724,0.0
2724,2009,1151,173,200,181,208,176,213,16,Chattanooga,16,16,50.0,0.0
2730,2010,1246,3,2,2,4,4,6,1,Kentucky,32,2,94.1176,3.0
2736,2010,1452,5,5,4,5,9,8,2,West Virginia,27,6,81.8182,4.0
2742,2010,1307,19,11,8,23,59,47,3,New Mexico,29,4,87.8788,1.0
2748,2010,1458,17,18,22,14,5,3,4,Wisconsin,23,8,74.1935,1.0
2754,2010,1396,8,13,7,16,35,18,5,Temple,29,5,85.2941,0.0
2760,2010,1266,25,31,36,24,32,28,6,Marquette,22,11,66.6667,0.0
2766,2010,1155,31,33,39,28,22,16,7,Clemson,21,10,67.7419,0.0
2772,2010,1400,24,21,24,13,30,17,8,Texas,24,9,72.7273,0.0
2778,2010,1448,50,39,46,45,58,50,9,Wake Forest,19,10,65.5172,1.0
2784,2010,1281,34,38,42,21,28,21,10,Missouri,22,10,68.75,1.0
2790,2010,1449,43,41,30,42,12,29,11,Washington,24,9,72.7273,2.0
2796,2010,1165,47,37,49,52,70,66,12,Cornell,25,4,86.2069,2.0
2802,2010,1459,64,76,67,82,98,87,13,Wofford,25,8,75.7576,0.0
2808,2010,1285,100,108,99,102,135,105,14,Montana,20,9,68.9655,0.0
2814,2010,1288,110,119,117,144,181,149,15,Morgan St,27,9,75.0,0.0
2820,2010,1190,151,163,161,156,184,142,16,ETSU,19,14,57.5758,0.0
2826,2010,1181,2,3,5,2,2,1,1,Duke,29,5,85.2941,6.0
2832,2010,1437,6,9,10,7,16,15,2,Villanova,24,7,77.4194,1.0
2838,2010,1124,13,10,13,8,11,12,3,Baylor,24,7,77.4194,3.0
2844,2010,1345,11,6,9,10,17,13,4,Purdue,27,5,84.375,2.0
2850,2010,1401,20,15,20,17,19,23,5,Texas A&M,22,9,70.9677,1.0
2856,2010,1323,36,44,34,39,21,38,6,Notre Dame,23,11,67.6471,0.0
2862,2010,1350,26,29,25,41,53,48,7,Richmond,26,8,76.4706,0.0
2868,2010,1143,23,36,29,29,15,14,8,California,23,10,69.697,1.0
2874,2010,1257,39,50,37,37,33,39,9,Louisville,20,12,62.5,0.0
2880,2010,1388,29,30,27,30,49,43,10,St Mary's CA,25,5,83.3333,2.0
2886,2010,1330,33,43,40,43,47,33,11,Old Dominion,26,8,76.4706,1.0
2892,2010,1429,30,55,41,40,26,20,12,Utah St,26,7,78.7879,0.0
2898,2010,1373,38,45,44,53,65,58,13,Siena,27,6,81.8182,0.0
2904,2010,1358,78,95,89,106,112,102,14,Sam Houston St,21,7,75.0,0.0
2910,2010,1352,162,158,148,188,158,188,15,Robert Morris,23,11,67.6471,0.0
2916,2010,1115,210,234,215,239,269,238,16,Ark Pine Bluff,17,15,53.125,1.0
2922,2010,1457,182,205,178,210,199,212,16,Winthrop,17,13,56.6667,0.0
2928,2010,1242,1,1,1,1,1,2,1,Kansas,32,2,94.1176,1.0
2934,2010,1326,10,8,18,12,3,4,2,Ohio St,27,7,79.4118,2.0
2940,2010,1207,9,16,12,11,7,11,3,Georgetown,23,10,69.697,0.0
2946,2010,1268,14,19,23,15,10,10,4,Maryland,22,8,73.3333,1.0
2952,2010,1277,28,20,26,25,18,24,5,Michigan St,24,8,75.0,4.0
2958,2010,1397,22,17,16,19,27,35,6,Tennessee,25,8,75.7576,3.0
2964,2010,1329,44,32,35,36,37,44,7,Oklahoma St,22,10,68.75,0.0
2970,2010,1424,45,42,33,44,43,37,8,UNLV,24,8,75.0,0.0
2976,2010,1320,21,25,15,31,41,32,9,Northern Iowa,28,4,87.5,2.0
2982,2010,1210,40,34,47,32,31,27,10,Georgia Tech,21,12,63.6364,1.0
2988,2010,1361,32,40,32,38,48,40,11,San Diego St,23,8,74.1935,0.0
2994,2010,1308,80,74,75,98,99,115,12,New Mexico St,21,11,65.625,0.0
3000,2010,1222,106,102,119,100,74,85,13,Houston,18,15,54.5455,0.0
3006,2010,1325,91,126,106,112,101,100,14,Ohio,20,14,58.8235,1.0
3012,2010,1364,109,112,97,126,156,152,15,UC Santa Barbara,19,9,67.8571,0.0
3018,2010,1250,171,187,166,204,149,180,16,Lehigh,22,10,68.75,0.0
3024,2010,1393,4,4,3,3,6,5,1,Syracuse,28,4,87.5,2.0
3030,2010,1243,7,7,6,6,8,9,2,Kansas St,25,7,78.125,3.0
3036,2010,1338,18,22,14,20,20,30,3,Pittsburgh,24,8,75.0,1.0
3042,2010,1435,27,24,19,27,29,36,4,Vanderbilt,23,8,74.1935,0.0
3048,2010,1139,15,12,11,22,24,26,5,Butler,28,4,87.5,5.0
3054,2010,1462,16,28,21,18,23,22,6,Xavier,24,8,75.0,2.0
3060,2010,1140,12,14,17,9,14,7,7,BYU,28,5,84.8485,1.0
3066,2010,1211,41,27,28,35,60,56,8,Gonzaga,25,6,80.6452,1.0
3072,2010,1199,35,23,38,26,25,19,9,Florida St,22,9,70.9677,0.0
3078,2010,1196,55,56,54,48,40,49,10,Florida,21,12,63.6364,0.0
3084,2010,1278,51,46,62,46,13,25,11,Minnesota,21,13,61.7647,0.0
3090,2010,1431,37,35,31,33,38,34,12,UTEP,26,6,81.25,0.0
3096,2010,1293,46,48,59,61,75,57,13,Murray St,28,4,87.5,1.0
3102,2010,1324,71,75,72,103,117,141,14,Oakland,24,8,75.0,0.0
3108,2010,1317,134,121,110,154,157,169,15,North Texas,22,8,73.3333,0.0
3114,2010,1436,113,129,128,145,115,129,16,Vermont,25,9,73.5294,0.0
3120,2011,1326,1,1,2,1,1,1,1,Ohio St,32,2,94.1176,2.0
3126,2011,1314,9,9,8,15,12,14,2,North Carolina,26,7,78.7879,3.0
3132,2011,1393,12,12,9,10,5,11,3,Syracuse,26,7,78.7879,1.0
3138,2011,1246,10,16,14,12,6,7,4,Kentucky,25,8,75.7576,4.0
3144,2011,1452,18,21,23,19,18,21,5,West Virginia,20,11,64.5161,1.0
3150,2011,1462,26,28,22,35,23,37,6,Xavier,24,7,77.4194,0.0
3156,2011,1449,29,29,33,26,15,15,7,Washington,23,10,69.697,1.0
3162,2011,1206,21,40,26,31,46,26,8,George Mason,26,6,81.25,1.0
3168,2011,1437,31,33,32,24,41,28,9,Villanova,21,11,65.625,0.0
3174,2011,1208,58,48,42,52,56,57,10,Georgia,21,11,65.625,0.0
3180,2011,1266,33,43,58,29,34,33,11,Marquette,20,14,58.8235,2.0
3186,2011,1155,37,44,51,42,21,24,12,Clemson,21,11,65.625,1.0
3192,2011,1412,50,51,37,53,67,56,12,UAB,22,8,73.3333,0.0
3198,2011,1343,48,59,48,76,117,87,13,Princeton,24,6,80.0,0.0
3204,2011,1232,102,104,99,112,94,109,14,Indiana St,19,13,59.375,0.0
3210,2011,1254,60,75,64,98,143,121,15,LIU Brooklyn,27,5,84.375,0.0
3216,2011,1106,271,300,266,308,290,295,16,Alabama St,15,17,46.875,0.0
3222,2011,1427,204,193,204,219,222,219,16,UT San Antonio,16,13,55.1724,1.0
3228,2011,1181,3,4,4,3,2,2,1,Duke,30,4,88.2353,2.0
3234,2011,1361,5,3,3,4,11,6,2,San Diego St,30,2,93.75,2.0
3240,2011,1163,13,10,11,14,14,17,3,Connecticut,26,9,74.2857,6.0
3246,2011,1400,11,11,12,7,8,4,4,Texas,27,7,79.4118,1.0
3252,2011,1112,23,15,19,22,33,25,5,Arizona,27,7,79.4118,3.0
3258,2011,1153,17,20,21,17,19,23,6,Cincinnati,25,8,75.7576,1.0
3264,2011,1396,30,25,27,32,45,38,7,Temple,25,7,78.125,1.0
3270,2011,1276,45,37,40,38,25,40,8,Michigan,19,13,59.375,1.0
3276,2011,1397,53,57,46,51,58,55,9,Tennessee,19,14,57.5758,0.0
3282,2011,1336,42,39,39,45,27,39,10,Penn St,19,14,57.5758,0.0
3288,2011,1281,41,32,35,28,29,34,11,Missouri,22,10,68.75,0.0
3294,2011,1272,67,46,34,67,91,85,12,Memphis,25,9,73.5294,0.0
3300,2011,1324,43,50,77,56,75,69,13,Oakland,24,9,72.7273,0.0
3306,2011,1137,68,85,86,88,109,90,14,Bucknell,25,8,75.7576,0.0
3312,2011,1294,107,120,130,125,150,122,15,N Colorado,19,10,65.5172,0.0
3318,2011,1214,150,167,129,178,221,211,16,Hampton,23,8,74.1935,0.0
3324,2011,1338,4,6,5,5,4,5,1,Pittsburgh,27,5,84.375,1.0
3330,2011,1196,16,17,10,18,16,19,2,Florida,26,7,78.7879,3.0
3336,2011,1140,7,7,6,6,17,13,3,BYU,29,4,87.8788,2.0
3342,2011,1458,15,13,17,11,13,9,4,Wisconsin,23,8,74.1935,2.0
3348,2011,1243,34,24,31,25,22,29,5,Kansas St,21,10,67.7419,1.0
3354,2011,1385,28,26,25,23,24,35,6,St John's,21,11,65.625,0.0
3360,2011,1417,49,38,36,47,50,53,7,UCLA,22,10,68.75,1.0
3366,2011,1139,38,58,41,46,48,54,8,Butler,22,9,70.9677,5.0
3372,2011,1330,24,27,18,39,52,52,9,Old Dominion,27,6,81.8182,0.0
3378,2011,1277,47,30,47,37,30,41,10,Michigan St,18,14,56.25,0.0
3384,2011,1211,40,45,54,41,26,27,11,Gonzaga,23,9,71.875,1.0
3390,2011,1429,20,14,20,21,35,16,12,Utah St,29,3,90.625,0.0
3396,2011,1125,22,34,43,34,43,18,13,Belmont,30,4,88.2353,0.0
3402,2011,1459,91,109,107,97,78,86,14,Wofford,21,12,63.6364,0.0
3408,2011,1364,152,139,167,144,135,125,15,UC Santa Barbara,16,13,55.1724,0.0
3414,2011,1114,210,187,185,207,196,210,16,Ark Little Rock,17,16,51.5152,0.0
3420,2011,1421,127,175,160,155,151,143,16,UNC Asheville,16,13,55.1724,1.0
3426,2011,1242,2,2,1,2,3,3,1,Kansas,32,2,94.1176,3.0
3432,2011,1323,6,5,7,8,7,10,2,Notre Dame,26,6,81.25,1.0
3438,2011,1345,8,8,13,9,10,8,3,Purdue,25,7,78.125,1.0
3444,2011,1257,14,18,15,13,9,12,4,Louisville,25,9,73.5294,0.0
3450,2011,1435,32,31,28,30,31,32,5,Vanderbilt,23,10,69.697,0.0
3456,2011,1207,19,19,16,16,42,31,6,Georgetown,21,10,67.7419,0.0
3462,2011,1401,36,22,29,33,36,45,7,Texas A&M,23,8,74.1935,0.0
3468,2011,1424,25,23,24,20,32,22,8,UNLV,24,8,75.0,0.0
3474,2011,1228,35,36,44,27,20,20,9,Illinois,19,13,59.375,1.0
3480,2011,1199,39,42,45,44,37,42,10,Florida St,21,10,67.7419,2.0
3486,2011,1425,59,62,75,62,44,44,11,USC,19,14,57.5758,0.0
3492,2011,1433,55,72,59,77,80,84,11,VCU,23,11,67.6471,5.0
3498,2011,1350,27,35,30,36,38,46,12,Richmond,27,7,79.4118,2.0
3504,2011,1287,87,99,103,108,106,95,13,Morehead St,22,9,70.9677,1.0
3510,2011,1389,98,116,118,128,102,110,14,St Peter's,20,13,60.6061,0.0
3516,2011,1103,111,123,105,127,110,123,15,Akron,22,12,64.7059,0.0
3522,2011,1131,135,164,137,166,152,169,16,Boston Univ,21,13,61.7647,0.0
3528,2012,1393,5,2,1,5,6,8,1,Syracuse,31,2,93.9394,3.0
3534,2012,1326,2,7,8,2,1,2,2,Ohio St,27,7,79.4118,4.0
3540,2012,1199,19,19,15,21,15,21,3,Florida St,24,9,72.7273,1.0
3546,2012,1458,12,14,19,8,12,6,4,Wisconsin,24,9,72.7273,2.0
3552,2012,1435,15,23,21,20,11,16,5,Vanderbilt,24,10,70.5882,1.0
3558,2012,1153,30,35,32,34,21,31,6,Cincinnati,24,10,70.5882,2.0
3564,2012,1211,28,28,24,30,24,32,7,Gonzaga,25,6,80.6452,1.0
3570,2012,1243,22,29,36,22,23,22,8,Kansas St,21,10,67.7419,1.0
3576,2012,1379,65,38,30,57,95,74,9,Southern Miss,23,8,74.1935,0.0
3582,2012,1452,37,56,47,38,32,42,10,West Virginia,19,13,59.375,0.0
3588,2012,1400,32,41,48,27,43,28,11,Texas,20,13,60.6061,0.0
3594,2012,1217,47,32,33,43,73,39,12,Harvard,25,4,86.2069,0.0
3600,2012,1285,101,84,79,97,103,94,13,Montana,23,6,79.3103,0.0
3606,2012,1382,59,73,75,61,51,51,14,St Bonaventure,20,11,64.5161,0.0
3612,2012,1259,127,86,89,133,132,128,15,Loyola MD,24,8,75.0,0.0
3618,2012,1421,107,110,115,125,93,121,16,UNC Asheville,21,9,70.0,0.0
3624,2012,1314,4,4,3,6,4,5,1,North Carolina,29,5,85.2941,3.0
3630,2012,1242,6,6,6,4,8,4,2,Kansas,27,6,81.8182,5.0
3636,2012,1207,18,18,18,14,27,12,3,Georgetown,22,8,73.3333,1.0
3642,2012,1276,24,10,16,23,20,25,4,Michigan,23,9,71.875,0.0
3648,2012,1396,29,20,22,36,42,34,5,Temple,24,7,77.4194,0.0
3654,2012,1361,45,22,25,46,57,54,6,San Diego St,24,7,77.4194,0.0
3660,2012,1388,38,25,29,35,44,44,7,St Mary's CA,25,5,83.3333,0.0
3666,2012,1166,21,16,13,25,35,35,8,Creighton,28,5,84.8485,1.0
3672,2012,1104,25,40,34,29,36,30,9,Alabama,21,11,65.625,0.0
3678,2012,1345,31,34,39,28,19,24,10,Purdue,21,12,63.6364,1.0
3684,2012,1301,41,48,42,45,31,43,11,NC State,22,12,64.7059,2.0
3690,2012,1143,33,39,41,31,38,27,12,California,24,9,72.7273,0.0
3696,2012,1378,51,60,59,70,47,66,12,South Florida,19,13,59.375,2.0
3702,2012,1325,62,50,53,72,78,71,13,Ohio,26,7,78.7879,2.0
3708,2012,1125,36,44,65,33,45,23,14,Belmont,26,7,78.7879,0.0
3714,2012,1178,116,124,118,119,82,115,15,Detroit,20,13,60.6061,0.0
3720,2012,1249,102,130,129,115,135,103,16,Lamar,21,11,65.625,0.0
3726,2012,1436,137,147,149,147,136,118,16,Vermont,23,11,67.6471,1.0
3732,2012,1246,1,1,2,1,3,1,1,Kentucky,32,2,94.1176,6.0
3738,2012,1181,9,8,4,11,14,17,2,Duke,27,6,81.8182,0.0
3744,2012,1124,13,9,9,12,18,14,3,Baylor,26,7,78.7879,3.0
3750,2012,1231,8,12,17,9,9,11,4,Indiana,25,8,75.7576,2.0
3756,2012,1455,10,15,11,10,10,10,5,Wichita St,26,5,83.871,0.0
3762,2012,1424,34,26,27,24,37,33,6,UNLV,24,8,75.0,0.0
3768,2012,1323,39,36,37,42,29,41,7,Notre Dame,22,11,66.6667,0.0
3774,2012,1235,27,31,31,32,33,29,8,Iowa St,22,10,68.75,1.0
3780,2012,1163,35,49,40,37,28,37,9,Connecticut,20,13,60.6061,0.0
3786,2012,1462,53,52,50,55,60,58,10,Xavier,21,12,63.6364,2.0
3792,2012,1160,81,63,64,80,68,75,11,Colorado,21,11,65.625,1.0
3798,2012,1433,43,33,35,50,55,47,12,VCU,28,6,82.3529,1.0
3804,2012,1308,61,75,70,63,64,63,13,New Mexico St,24,9,72.7273,0.0
3810,2012,1355,68,69,63,59,67,57,14,S Dakota St,25,7,78.125,0.0
3816,2012,1250,87,83,97,92,113,83,15,Lehigh,25,7,78.125,1.0
3822,2012,1290,222,174,163,233,284,256,16,MS Valley St,21,12,63.6364,0.0
3828,2012,1443,186,189,180,202,183,191,16,WKU,15,18,45.4545,1.0
3834,2012,1277,3,5,5,3,2,3,1,Michigan St,27,7,79.4118,2.0
3840,2012,1281,7,3,7,7,7,7,2,Missouri,30,4,88.2353,0.0
3846,2012,1266,14,13,10,15,16,18,3,Marquette,25,7,78.125,2.0
3852,2012,1257,17,17,12,18,13,20,4,Louisville,26,9,74.2857,4.0
3858,2012,1307,20,21,23,16,17,13,5,New Mexico,26,6,81.25,1.0
3864,2012,1293,42,11,14,40,79,49,6,Murray St,27,1,96.4286,1.0
3870,2012,1196,16,27,26,17,22,19,7,Florida,23,10,69.697,3.0
3876,2012,1272,11,24,20,13,5,9,8,Memphis,26,8,76.4706,0.0
3882,2012,1387,23,30,28,19,26,15,9,St Louis,24,7,77.4194,1.0
3888,2012,1438,26,37,38,26,34,26,10,Virginia,22,9,70.9677,0.0
3894,2012,1161,73,66,49,76,75,76,11,Colorado St,20,11,64.5161,0.0
3900,2012,1253,44,42,66,41,58,36,12,Long Beach St,23,8,74.1935,0.0
3906,2012,1172,56,62,68,71,76,68,13,Davidson,24,7,77.4194,0.0
3912,2012,1140,49,53,45,39,49,48,14,BYU,23,8,74.1935,1.0
3918,2012,1233,50,61,60,52,63,60,14,Iona,25,7,78.125,0.0
3924,2012,1313,187,126,117,182,236,214,15,Norfolk St,24,8,75.0,1.0
3930,2012,1254,144,100,103,159,141,164,16,LIU Brooklyn,25,8,75.7576,0.0
3936,2013,1231,2,4,7,2,2,3,1,Indiana,27,6,81.8182,2.0
3942,2013,1274,9,12,6,14,14,14,2,Miami FL,27,6,81.8182,2.0
3948,2013,1266,21,17,18,22,25,25,3,Marquette,23,8,74.1935,3.0
3954,2013,1393,12,14,16,13,15,13,4,Syracuse,26,9,74.2857,4.0
3960,2013,1424,30,35,21,39,39,36,5,UNLV,24,9,72.7273,0.0
3966,2013,1139,42,21,20,45,43,52,6,Butler,25,8,75.7576,1.0
3972,2013,1228,43,29,38,44,33,42,7,Illinois,21,12,63.6364,1.0
3978,2013,1301,27,32,32,25,24,35,8,NC State,24,10,70.5882,0.0
3984,2013,1396,58,45,40,55,52,68,9,Temple,23,9,71.875,1.0
3990,2013,1160,41,43,42,52,62,50,10,Colorado,21,11,65.625,0.0
3996,2013,1137,61,41,52,73,81,62,11,Bucknell,27,5,84.375,0.0
4002,2013,1143,57,51,47,56,65,58,12,California,20,11,64.5161,1.0
4008,2013,1285,138,78,91,133,152,145,13,Montana,23,6,79.3103,0.0
4014,2013,1172,68,71,75,64,44,59,14,Davidson,25,7,78.125,0.0
4020,2013,1334,114,97,103,130,160,121,15,Pacific,20,12,62.5,0.0
4026,2013,1241,183,168,179,169,155,179,16,James Madison,20,14,58.8235,1.0
4032,2013,1254,182,193,173,163,134,185,16,LIU Brooklyn,20,13,60.6061,0.0
4038,2013,1242,6,7,4,4,5,8,1,Kansas,29,5,85.2941,2.0
